id,name,birth_year,death_year,nationality,literary_movement,biographical_notes,wikidata_id,created_at,updated_at,author_notes
142,Vera Brown,,,,,,,2025-06-18 03:01:30.931046,2025-06-18 03:01:30.931046,
143,Eleanor Browne,,,,,,,2025-06-18 03:02:43.18093,2025-06-18 03:02:43.18093,
144,Grace Lovell Bryan,,,,,,,2025-06-18 03:04:01.540842,2025-06-18 03:04:01.540842,
145,Marguerite Bryant,,,,,,,2025-06-18 03:05:23.6088,2025-06-18 03:05:23.6088,
146,Pearl S. Buck,,,,,,,2025-06-18 03:05:54.62011,2025-06-18 03:05:54.62011,
147,Kitty Buhler,,,,,,,2025-06-18 03:27:42.970289,2025-06-18 03:27:42.970289,"aka Esther ""Kitty"" Buhler Bradley, aka Esther Dora Biolo"
148,Lois Bull,,,,,,,2025-06-18 03:29:17.897053,2025-06-18 03:29:17.897053,"aka Lois Buel, aka Lois Milburn Bull"
149,Betty Burbridge,,,,,,,2025-06-18 03:30:18.08117,2025-06-18 03:30:18.08117,
150,Clara Louise Burnham,,,,,,,2025-06-18 03:31:52.032704,2025-06-18 03:31:52.032704,
151,Jane Burr,,,,,,,2025-06-18 03:33:21.117954,2025-06-18 03:33:21.117954,pseud of Rose Burr
152,Zoe Akins,,,,,,,2025-06-18 03:50:49.976465,2025-06-18 03:50:49.976465,
153,Anne Cameron,,,,,,,2025-06-19 17:55:47.602155,2025-06-19 17:55:47.602155,
154,Dorothy Canfield,,,,,,,2025-06-19 17:55:47.602155,2025-06-19 17:55:47.602155,aka Dorothea Frances Canfield Fisher
155,Ernestine Gilbreth Carey,,,,,,,2025-06-19 17:55:47.602155,2025-06-19 17:55:47.602155,
156,Marjorie Carleton,,,,,,,2025-06-19 17:55:47.602155,2025-06-19 17:55:47.602155,
