Title,Year,Directors,imdbID,Review
One Hour Late,1934,Ralph Murphy,,AFI Catalog ID: 7837.0
Sadie McKee,1934,Clarence Brown,,AFI Catalog ID: 7064.0
She Was a Lady,1934,Hamilton MacFadden,,AFI Catalog ID: 2200.0
Strange Wives,1934,Richard Thorpe,,AFI Catalog ID: 1164.0
Such Women Are Dangerous,1934,James Flood,,AFI Catalog ID: 7539.0
The Age of Innocence,1934,Philip Moeller,,AFI Catalog ID: 6865.0
The Last Gentleman,1934,Sidney Lanfield,,AFI Catalog ID: 7705.0
The Ninth Guest,1934,R. William Neill,,"AFI Catalog ID: 6417.0 | also based on the play The Ninth
Guest. by Owen Davis"
Two Heads on a Pillow,1934,William Nigh,,AFI Catalog ID: 4845.0
You Belong to Me,1934,Alfred Werker,,AFI Catalog ID: 6875.0
Captain Hurricane,1935,John Robertson,,AFI Catalog ID: 4360.0
Collegiate,1935,Ralph Murphy,,AFI Catalog ID: 4872.0
Curly Top,1935,Irving Cummings,,AFI Catalog ID: 5286.0
False Pretenses,1935,Charles Lamont,,AFI Catalog ID: 4013.0
Freckles,1935,"Edward Killy, William Hamilton",,AFI Catalog ID: 5863.0
Hands Across the Table,1935,Mitchell Leisen,,AFI Catalog ID: 6435.0
Laddie,1935,George Stevens,,AFI Catalog ID: 6903.0
Manhattan Butterfly,1935,Lewis D. Collins,,AFI Catalog ID: 5315.0
Personal Maid's Secret,1935,Arthur Greville Collins,,AFI Catalog ID: 5598.0
Roberta,1935,William A. Seiter,,AFI Catalog ID: 6281.0
She Married Her Boss,1935,Gregory La Cava,,AFI Catalog ID: 8615.0
Stars over Broadway,1935,William Keighley,,AFI Catalog ID: 6256.0
The Keeper of the Bees,1935,Christy Cabanne,,AFI Catalog ID: 7497.0
Wife Vs. Secretary,1935,Clarence Brown,,AFI Catalog ID: 4863.0
Accused,1936,Thornton Freeland,,AFI Catalog ID: 8409.0
And So They Were Married,1936,Elliott Nugent,,AFI Catalog ID: 6519.0
August Week-end,1936,Charles Lamont,,AFI Catalog ID: 4432.0
Bad Boy,1936,John Blystone,,AFI Catalog ID: 4868.0
King of Burlesque,1936,Sidney Lanfield,,AFI Catalog ID: 4974.0
Lady of Secrets,1936,Marion Gering,,AFI Catalog ID: 8572.0
Little Lord Fauntleroy,1936,John Cromwell,,AFI Catalog ID: 5579.0
Love Before Breakfast,1936,Walter Lang,,AFI Catalog ID: 5951.0
Navy Born,1936,Nate Watt,,AFI Catalog ID: 5420.0
Next Time We Love,1936,Edward H. Griffith,,AFI Catalog ID: 7638.0
Ramona,1936,Henry King,,AFI Catalog ID: 1087.0
Roaming Lady,1936,Albert S. Rogell,,AFI Catalog ID: 8530.0
Show Boat,1936,James Whale,,AFI Catalog ID: 1033.0
The Bride Comes Home,1936,Wesley Ruggles,,AFI Catalog ID: 6381.0
The Harvester,1936,Joseph Santley,,AFI Catalog ID: 6297.0
The Moon's Our Home,1936,William A. Seiter,,AFI Catalog ID: 4408.0
A Bride for Henry,1937,William Nigh,,AFI Catalog ID: 6550.0
Back in Circulation,1937,Ray Enright,,AFI Catalog ID: 4885.0
Dangerous Number,1937,Richard Thorpe,,AFI Catalog ID: 6165.0
Mannequin,1937,Frank Borzage,,AFI Catalog ID: 5523.0
Michael O'Halloran,1937,Karl Brown,,AFI Catalog ID: 8001.0
Portia on Trial,1937,George Nicholls Jr.,,AFI Catalog ID: 5828.0
Stella Dallas,1937,King Vidor,,AFI Catalog ID: 4311.0
The Good Earth,1937,"Sidney Franklin, Victor Fleming, Gustav Machaty",,AFI Catalog ID: 8507.0
Underworld,1937,Oscar Micheaux,,AFI Catalog ID: 2230.0
Wake Up and Live,1937,Sidney Lanfield,,AFI Catalog ID: 7861.0
Wings over Honolulu,1937,H. C. Potter,,AFI Catalog ID: 7631.0
Bringing Up Baby,1938,Howard Hawks,,AFI Catalog ID: 6702.0
Comet over Broadway,1938,Busby Berkeley,,AFI Catalog ID: 3969.0
Four Daughters,1938,Michael Curtiz,,AFI Catalog ID: 7131.0
I Met My Love Again,1938,"Arthur Ripley, Joshua Logan",,AFI Catalog ID: 7565.0
