id,name,birth_year,death_year,nationality,literary_movement,biographical_notes,wikidata_id,created_at,updated_at,author_notes
93,Gertrude Walker,1902,1995,United States,,"American crime writer (1902-1995). Born in Rockwell. Died in Palm Springs. Occupations: crime fiction writer, screenwriter, novelist, writer",Q3104395,2025-06-17T03:44:44.513472,2025-06-17T16:38:30.842794,
101,Gladys Atwater,1899,1988,United States,,"American screenwriter. Born in Oakland. Occupations: screenwriter, writer",Q60813344,2025-06-17T03:44:44.513472,2025-06-17T16:38:41.032256,
160,Gladys Hasty Carroll,1904,1999,United States,,"American fiction writer who featured Maine frequently (1904–1999). Occupations: writer, novelist",Q5566419,2025-06-19T17:55:47.602155,2025-06-20T17:53:38.155796,
141,Grace Drew Brown,,,,,,,2025-06-18T03:00:13.008925,2025-06-18T03:00:13.008925,
229,Grace Flandrau,1886,1971,United States,,American writer (1886-1971). Born in Saint Paul. Died in Farmington. Occupations: journalist,Q5591171,2025-07-03T19:59:48.566612,2025-07-04T03:29:12.259668,"aka Grace Hodgson Flandrau. Sometimes incorrectly credited as ""Grace Landrau."""
144,Grace Lovell Bryan,,,,,,,2025-06-18T03:04:01.540842,2025-06-18T03:04:01.540842,
174,Grace MacGowan Cooke,1863,1944,United States,,American novelist. Born in Grand Rapids. Died in Los Gatos. Occupations: writer,Q63607777,2025-06-19T17:55:47.602155,2025-06-20T17:53:54.295564,
4,Grace Miller White,1868,1957,United States,,"American writer (1868-1957). Occupations: novelist, writer",Q5591308,2025-06-17T03:44:44.513472,2025-06-17T16:36:34.700562,
136,Gwen Bristow,1903,1980,United States,,"American author and journalist (1903–1980). Born in Marion. Died in New Orleans. Occupations: journalist, writer, novelist, screenwriter. Notable works: The Invisible Host, Jubilee Trail",Q447244,2025-06-18T02:53:33.367658,2025-06-20T17:53:08.564795,aka Mrs. Bruce Manning
187,Gwen Davenport,1909,2002,,,"novelist. Born in Colón City. Died in Louisville. Occupations: playwright, novelist",Q106648905,2025-06-23T00:49:56.759267,2025-06-23T01:12:13.399309,
69,Hagar Wilde,1905,1971,United States,,American writer (1905–1971). Born in Toledo. Occupations: screenwriter,Q5638549,2025-06-17T03:44:44.513472,2025-06-17T16:38:01.756321,
2,Harriet Beecher Stowe,1811,1896,United States,,"American abolitionist and author (1811–1896). Born in Litchfield. Died in Hartford. Occupations: children's writer, short story writer, abolitionist, writer, essayist, novelist, poet. Notable works: Still, Still with Thee, Uncle Tom's Cabin, Dred: A Tale of the Great Dismal Swamp, A Key to Uncle Tom's Cabin",Q102513,2025-06-17T03:44:44.513472,2025-06-17T16:36:31.254892,
